date,public_date_label,title,venue_or_promoter,city,country,format,notes
2025-05-16,,DARKRAVE,,Leuven,BE,B2B,Past date as of 2026-05-22
2025-06-06,,DARKRAVE,,Liège,BE,B2B,Past date as of 2026-05-22
2025-07-04,,GEWOONRAVES,,Castricum,NL,B2B,Past date as of 2026-05-22
2025-08-14,,REVERB,,Brussels,BE,B2B,Past date as of 2026-05-22
2025-09-12,,DARKRAVE,,Liège,BE,B2B,Past date as of 2026-05-22
2025-10-11,,VIZION FOCUS,,Liège,BE,B2B,Past date as of 2026-05-22
2025-11-08,,IMPERIUM,,Liège,BE,B2B,Past date as of 2026-05-22
2025-11-15,,HEXAGON RAVES,,Krefeld,DE,B2B,Past date as of 2026-05-22
2025-11-21,,INVAZZION,,Liège,BE,B2B,Past date as of 2026-05-22
2025-11-28,,BREAK OUT,,Antwerp,BE,B2B,Past date as of 2026-05-22
2025-12-13,,HDTC,,Namur,BE,B2B,Past date as of 2026-05-22
2025-12-26,,PRIVATE PARTY,,Mechelen,BE,B2B,Past date as of 2026-05-22
2026-03-06,,The Holy Rave,,Luxembourg,LU,B2B,Past date as of 2026-05-22
2026-04-10,,The Holy Rave,,Metz,FR,B2B,Past date as of 2026-05-22
2026-04-11,,HDTC,,Namur,BE,B2B,Past date as of 2026-05-22
2026-05-02,,TECHNOBUS Modulaire,,Gent,BE,B2B,Past date as of 2026-05-22
2026-05-02,,BELVEDERE,,Namur,BE,B2B,Past date as of 2026-05-22
2026-05-13,,Break The Silence,,Cologne,DE,B2B,Past date as of 2026-05-22
2026-05-29,,Roof 175,,Mayence,DE,B2B,Upcoming as of 2026-05-22
2026-06-06,,HDTC,,Namur,BE,B2B,Upcoming as of 2026-05-22
2026-06-13,,Kuzio Invite,,Essen,DE,B2B,Upcoming as of 2026-05-22
2026-07-02,,TRAUMA TECHNO,,Aachen,DE,B2B,Upcoming as of 2026-05-22
2026-07-14,,INKKISS INVITES,,Amsterdam,NL,B2B,Upcoming as of 2026-05-22
2026-08-22,,OPNT,,Gran Canaria,ES,B2B,Upcoming as of 2026-05-22
2026-09-05,,HDTC,,Namur,BE,B2B,Upcoming as of 2026-05-22
2026-09-26,,Hexagon Rave,,Krefeld,DE,B2B,Upcoming as of 2026-05-22
2026-10-31,,HDTC Halloween Edition,,Belgium,BE,B2B,Upcoming as of 2026-05-22
2026-11-01,TBA Nov,Detroit Club,,Barcelone,ES,B2B,Upcoming as of 2026-05-22
2026-11-01,TBA Nov,HDTC,,Bruxelles,BE,B2B,Upcoming as of 2026-05-22
2026-11-01,TBA Nov,Yesterave,,Malmedy,BE,B2B,Upcoming as of 2026-05-22
2026-12-01,TBA Dec,HDTC B2B Edition,,Belgium,BE,B2B,Upcoming as of 2026-05-22
